values_Ur,mode_1,mode_2,mode_3,mode_4,mode_5,mode_6,mode_7,mode_8
1.0,-0.382816678953532,0.5533907513399421,-0.012738767385569507,0.010509934588500023,-0.0025168419978495787,-0.002138732965266793,-0.0004992699817839324,8.726491580874362e-05
2.0,0.13212856485998525,0.05437180271609237,0.015480652941523081,0.0005502114785479453,-0.0018750765527205434,0.0009717422126264979,0.005846125270899069,-0.008053012734985213
3.0,-0.5306126463412165,-0.24084018944010468,0.004800962628735147,-0.01850557107862931,-0.0034033846456806623,0.0058401481733756,-0.0018410633229714373,0.0005881188963084804
3.5,0.04108123000239386,-0.013920808914692693,-0.03214787914091955,-0.006989976739154838,0.0009713972361648008,-0.0027326853569847,7.443424656704757e-05,0.0007271519859753552
4.0,0.06644452600681981,-0.1455005675215364,-0.01107902166091342,-0.010976442067923595,0.003406355117307549,0.0001742602360773633,-0.0023922294525490924,-0.0011460550064395015
4.5,0.19250036186042813,-0.2237797892244369,0.04425702766278631,0.018420573706154266,-0.0027080143428414227,0.007191056500215481,-0.0002712369699365305,-0.0001620726952652489
5.0,-0.15202107302466336,0.27357704520122145,-0.06490206458958586,-0.040229360915243845,-0.0028403207810200593,-0.009182170393890162,0.00042808856973841316,0.0003907554057787537
6.0,-0.3486946937479658,-0.3735926120519256,0.02058312051113968,-0.0539074023106919,0.011531823148169853,0.009158443107893948,-0.0005950658891468201,-0.0024541040732633432
7.0,0.41367248498601816,0.26741566884839535,-0.023178948984028936,0.03133293778616196,-0.005719988285494029,-0.004005870712154242,0.0011539950283811454,-2.3207057764672043e-05
8.0,-0.2607762468984188,0.12292020915102377,0.02095377064055506,-0.03298074545178738,-0.003050230763262881,-0.004912895810737429,-0.004642675232910905,0.005609837379463826
9.0,-0.10281364433116574,0.5477236037932497,0.011019880781289541,0.032277421047070404,0.005663111628853325,-0.0051696589662597,-0.00032267005237708775,0.0008794731733382431
10.0,0.5246675627500252,0.06847316194658494,0.014138899762566362,0.02119739657414483,-0.0026895244309161626,0.019406297128147267,0.0014228764317674582,-0.0012967430604360595
11.0,-0.4464459599743221,-0.3206324273213777,0.01675216256020774,-0.008380770458162374,-0.012373977569412312,-0.017452615931408323,0.00657349800892309,-0.0009443127124016153
12.0,0.5810024756508781,-0.17764790692463486,-0.008572273957647902,-0.010407122016990372,0.026464315622750072,0.01418916594778187,0.0011294119857916838,-0.006593650884089075
13.0,0.5893639126226702,0.12262532563759504,0.010231915475752643,0.028596185826221154,-0.0013760586529501784,-0.01929413154880123,0.0019045085308895993,0.0009487416464829641
