values_Ur,psi_p1,psi_p2
1.0,-2.3816177138851014e-08,4.215802288000342e-08
2.0,1.1491270068514702e-06,1.0429057050458048e-06
3.0,-4.193072977622728e-08,-3.760931643330723e-08
3.5,1.1440811262744466e-06,-1.0096070403930622e-07
4.0,3.239480598315332e-06,-2.0002547925365565e-06
4.5,-1.4417831530866062e-06,1.6509216562498063e-06
5.0,2.5051654003247516e-06,-5.426728733973191e-07
6.0,-1.1296301101323895e-06,3.175472945951057e-07
7.0,-6.751422093061656e-07,8.957441789188609e-07
8.0,-3.24457416466975e-07,2.566622051006664e-07
9.0,1.4348908531217079e-08,-1.6744190604193265e-08
10.0,-4.832733651663552e-08,8.892874782707929e-09
11.0,-1.9813805170484438e-08,2.154859045430473e-09
12.0,2.749043756663145e-10,-2.887891912878193e-10
13.0,-4.873426506678177e-09,3.821031614909142e-11
