values_Ur,vibration_mode_1,vibration_mode_2
1.0,1.8613788004610274e-08,2.8031420658675577e-06
2.0,-3.503118811443139e-06,5.865228587703939e-06
3.0,6.703273036974435e-08,-5.727910359822052e-07
3.5,-1.2345115410342507e-07,-1.1352790730534272e-06
4.0,1.4485422803011076e-08,1.1383390488410418e-06
4.5,7.251932931106756e-07,2.1580629713217795e-06
5.0,-1.1095824917701305e-06,1.6033771913481775e-06
6.0,-6.86341776888121e-07,3.2524669761377604e-06
7.0,8.951044943228237e-07,-2.430009992736343e-06
8.0,7.506170839990045e-07,-2.799007346804318e-06
9.0,-5.825070376619053e-08,-9.500555617653095e-07
10.0,5.8405470050925384e-08,7.289899292641234e-07
11.0,2.7432657025773275e-08,-4.873606465424732e-07
12.0,-1.523271113857337e-08,3.5681801937721416e-07
13.0,-2.513172578181052e-09,2.7082565998836873e-07
